Squadra 1;Squadra 2;gol per squadra 1T;differenza punti in classifica (sq1sq2);minuti di gioco 1T;cartellini gialli 1;cartellini rossi 1;formazione1;Possesso Palla (min) 1;posizione media (mt) 1;calci d angolo 1;calci di punizione cross 1 ;calci di punizione tiri 1;falli fatti 1;fuorigioco 1;passaggi riusciti (percent) 1;passaggi lunghi riusciti (percent)  1;passaggi filtranti riusciti (percent)  1;contropiede 1;occasioni da gol  1;tiri in porta 1;cross 1;parate 1;uscite portiere 1;recupero palla per fine azione 1;recupero palla effettivo 1;recupero palla temporaneo 1;somma punti nelle due partite precedenti 1;valore rosa squadra 1;valore di mercato squadra Mln eur 1;cartellini gialli 2;cartellini rossi 2;formazione2;Possesso Palla (min) 2;posizione media (mt) 2 ;calci dangolo 2;calci di punizione cross 2 ;calci di punizione tiri 2;falli fatti 2;fuorigioco 2;passaggi riusciti  (percent) 2;passaggi lunghi riusciti (percent)   2;passaggi filtranti riusciti (percent)  2;contropiede 2;occasioni da gol  2;tiri in porta 2;cross 2;parate 2;uscite portiere 2;recupero palla per fine azione 2;recupero palla effettivo 2;recupero palla temporaneo 2;somma punti nelle due partite precedenti 2;valore rosa squadra 2;valore di mercato squadra Mln eur 2;risultato
Roma;Juventus;0;1;46;0;0;433;19;50.37;4;2;1;7;1;88.8;63;50;1;3;7;4;0;3;16;23;7;2;271.6;10.06;2;0;352;11;47.12;1;0;0;9;0;85.5;66.7;0;1;0;1;2;1;1;11;19;14;1;318.7;11.8;A
Fiorentina;Genoa;0;0;46;2;0;4231;18;51.36;2;2;0;11;0;88.7;68;100;2;3;6;0;1;1;20;20;11;3;132.55;4.91;2;0;343;12;47.84;1;1;0;11;3;79.4;38.7;100;0;2;3;1;1;0;14;31;5;3;83.1;3.2;A
Hellas Verona;Torino;0;-5;48;0;0;433;17;54.66;2;3;0;8;2;83.7;77.4;50;1;6;7;3;1;0;21;31;8;1;41.8;1.61;1;0;352;13;47.42;1;1;0;10;2;80.4;60.9;55.6;2;1;1;1;1;1;15;17;11;6;65.7;2.53;x
Internazionale;Milan;0;3;46;1;0;4312;15;46.81;4;1;0;9;3;79;90.9;50;0;5;7;2;2;1;15;30;17;6;238.98;8.54;2;0;4312;14;50.99;0;1;0;12;0;79.6;53.1;40;2;5;9;1;2;0;;32;11;3;201.15;6.49;A
Lazio;Udinese;0;0;47;0;0;4231;17;48.31;2;0;1;9;0;80.3;53.1;0;2;2;5;1;1;2;25;23;17;3;181.15;5.84;0;0;352;12;46.85;2;3;1;7;1;74.3;68;50;2;0;1;0;1;1;20;20;23;3;73.15;2.61;A
Palermo;Carpi;1;6;45;1;0;3511;18;49.14;1;0;0;8;0;79.7;76.5;16.7;18;3;5;3;1;0;17;33;9;6;53.78;1.92;2;0;352;12;51.24;2;1;0;12;3;72.9;70.4;0;23;2;3;2;3;1;14;21;12;0;36.83;1.42;x
Sassuolo;Atalanta;2;3;46;1;0;433;16;46.86;1;2;2;10;1;79.7;63;25;0;4;6;3;3;0;16;25;13;6;75.9;2.92;4;0;433;13;49.21;0;3;0;11;2;79.6;57.1;100;1;6;7;2;6;0;14;17;13;3;50.85;1.7;x
Sampdoria;Bologna;0;4;47;1;0;4312;18;47.16;0;0;0;5;1;87.6;59.4;0;9;3;6;2;1;0;13;22;15;4;101.23;3.27;2;0;4231;15;49.94;3;1;1;10;0;84.9;65;33.3;2;1;6;2;1;0;11;23;17;0;28.48;1.1;A
Atalanta;Hellas Verona;0;2;48;0;0;433;15;50.77;5;1;0;8;0;83.3;84.2;42.9;11;4;8;6;0;0;15;28;12;4;57.45;1.92;3;0;433;13;53.1;1;1;1;11;0;80.9;57.9;0;7;1;4;1;0;0;22;6;20;1;41.8;1.61;x
Carpi;Napoli;0;-4;47;2;0;532;11;40.74;1;1;0;9;2;70.6;45.2;0;11;3;4;2;3;3;15;15;10;1;42.4;1.57;2;0;433;18;57.22;3;1;1;9;1;87.5;59.4;20;0;5;10;3;0;0;24;26;11;4;262.75;9.38;x
Chievo;Torino;0;-3;45;1;0;4312;16;52.14;0;2;0;7;0;88.5;62.5;0;2;1;2;1;0;1;15;24;10;1;34.4;1.32;1;0;352;18;46.65;0;0;0;5;1;88.1;64;20;0;0;3;1;1;2;;19;6;4;70.35;2.71;A
Fiorentina;Bologna;0;6;46;0;0;4231;19;52.81;3;1;2;8;0;87.7;85.7;100;2;1;6;4;1;0;21;25;12;6;131.7;4.88;1;0;433;13;46.86;0;0;0;9;3;77.9;65.4;66.7;1;2;2;0;1;0;;26;14;3;64.95;1.91;A
Internazionale;Hellas Verona;0;9;47;2;0;433;18;52.72;7;2;1;6;0;83.9;80;0;0;5;11;2;0;0;20;17;16;6;238.98;8.54;1;0;532;12;46.81;1;2;0;4;2;80.5;57.1;100;2;1;1;2;2;1;12;20;18;2;41.8;1.61;A
Sampdoria;Roma;0;1;47;1;0;4312;12;36.44;2;1;0;5;1;76.5;54.2;50;2;2;2;1;3;1;16;20;13;3;100.93;3.36;1;0;433;17;61.75;10;2;0;8;1;83.4;68.4;40;3;7;8;4;1;0;;26;16;4;260.6;9.31;A
Sassuolo;Chievo;1;-1;74;1;0;4312;16;41.28;2;1;0;7;2;79.6;75.7;66.7;5;25;5;0;2;0;21;23;13;4;75.9;2.92;1;0;4312;14;50.77;2;1;0;11;2;79.4;50;50;0;4;9;2;2;0;24;17;12;3;34.65;1.28;x
Frosinone;Empoli;0;-3;45;2;0;442;13;47.53;2;0;1;13;2;76;75;66.7;5;3;4;8;1;0;13;28;21;1;28.1;1.12;1;0;4312;14;50.35;1;3;0;7;1;80.4;78.4;25;1;4;5;1;1;0;23;30;12;3;43.9;1.57;A
Carpi;Torino;0;-14;46;0;0;3511;14;45.61;2;2;1;3;1;86.1;55;0;0;2;3;2;2;0;16;15;17;1;41.9;1.55;0;0;352;18;55.35;1;1;0;8;1;86.4;69.2;0;3;6;6;3;1;0;12;29;7;3;70.35;2.71;A
Chievo;Hellas Verona;0;8;46;0;0;4312;16;48.27;2;1;0;12;1;84.5;68.2;33.3;9;4;4;0;2;0;17;24;13;4;32.9;1.32;0;0;541;14;46.5;3;1;0;9;2;79.4;62.5;0;0;3;4;1;2;2;15;27;16;0;41.5;1.66;x
Empoli;Sassuolo;0;-8;47;2;0;4312;15;48.83;0;2;1;10;1;85.5;76.2;25;0;4;7;2;0;0;12;30;11;0;43.75;1.62;2;0;433;13;50.65;1;4;0;13;0;78.7;69.2;20;6;0;0;1;0;0;18;16;17;4;75.9;2.92;A
Lazio;Frosinone;0;8;49;0;0;433;19;51.12;2;3;0;6;1;84.6;60.7;100;0;8;12;3;2;1;19;37;20;6;183.4;5.92;0;0;442;11;44.48;1;1;1;9;2;65.5;50;57.1;0;1;3;1;3;1;16;16;25;4;28.1;1.12;A
Sampdoria;Internazionale;0;-5;47;0;0;433;12;45.26;7;0;0;3;2;81.3;56.5;60;7;8;10;2;3;3;21;20;9;3;97.43;3.36;0;0;4312;19;58.21;5;1;0;5;0;88.6;71.4;0;0;6;8;6;4;0;17;24;11;3;238.98;8.54;x
Udinese;Genoa;0;0;48;1;0;352;12;38.25;1;0;0;6;1;74;54.2;25;0;2;2;0;4;2;18;18;15;3;77.6;2.68;0;0;343;20;57.62;5;2;1;7;1;85.2;77.3;0;0;3;7;1;1;1;;30;15;3;88.78;3.17;x
Roma;Empoli;0;7;45;1;0;4411;19;49.1;5;0;0;8;3;82.8;52.9;71.4;0;4;6;2;2;0;17;34;11;6;256.6;9.16;1;0;4312;14;48.47;1;1;0;5;2;81.4;61.3;57.1;5;4;7;0;3;1;13;19;17;3;43.75;1.62;A
Torino;Milan;0;4;47;2;0;352;15;41.05;1;0;0;15;0;83.6;61.5;0;0;0;0;3;1;1;13;22;11;3;70.35;2.71;1;0;433;16;53.35;1;1;2;5;1;86.1;65.2;0;0;2;4;0;0;0;19;26;8;0;211.75;7.56;x
Frosinone;Sampdoria;0;-7;45;1;0;442;12;48.89;3;3;1;5;0;77.4;56;50;7;5;9;2;2;0;22;23;16;3;28.1;1.12;2;0;433;15;53.02;3;0;0;9;1;84.4;57.7;0;6;4;8;2;3;4;19;13;20;1;97.43;3.36;A
Internazionale;Juventus;0;8;45;1;0;442;16;47.34;3;1;2;8;0;87.7;71.4;50;10;2;5;4;1;1;19;14;12;1;244.98;8.75;3;0;352;14;50.91;3;1;0;7;0;88.1;82.6;33.3;3;1;3;1;0;0;9;37;4;3;390.28;15.01;x
Napoli;Fiorentina;0;-6;47;1;0;433;16;49.73;2;1;1;8;2;81.3;43.5;16.7;0;2;3;1;1;0;18;22;16;6;260.75;9.66;1;0;3421;15;50.87;0;1;1;8;1;84.7;55.2;0;4;3;5;2;2;0;13;26;19;6;131.4;4.69;A
Palermo;Internazionale;0;-7;45;1;0;3511;15;44.11;2;0;0;6;1;81.2;73.7;25;5;5;4;5;0;0;17;23;22;3;54.75;1.89;2;0;442;18;54.61;3;0;0;5;2;81.7;48.6;28.6;2;1;5;3;1;0;16;30;21;2;244.98;8.75;x
Chievo;Napoli;0;-3;45;0;0;4312;12;36.75;0;1;0;10;1;73;50;33.3;1;1;1;0;1;0;9;24;19;1;32.9;1.32;0;0;433;22;58.18;4;1;0;5;1;85.9;51.6;44.4;2;5;9;2;0;0;18;41;15;6;260.75;9.66;B
Bologna;Internazionale;0;-12;51;0;0;433;13;42.93;1;2;0;4;1;83.9;64.3;28.6;4;2;1;2;1;0;1;24;10;3;66.55;2.15;1;0;4231;21;55.29;1;2;1;8;1;89.2;68.2;0;11;2;4;4;0;0;15;23;10;2;244.98;8.75;B
Frosinone;Carpi;0;2;48;1;0;442;12;48.88;0;1;0;12;1;75.2;64;40;9;2;3;0;1;1;20;27;10;3;28.1;1.12;1;0;4141;12;53.29;3;1;1;12;1;80;64.3;50;9;2;3;2;1;2;;17;18;0;41.9;1.55;A
Milan;Chievo;0;1;48;0;0;433;19;50.76;5;1;0;7;2;81.8;65.5;100;0;5;9;3;2;0;25;30;16;4;211.75;7.56;0;0;4312;13;46.61;2;2;0;7;3;70.6;36.7;0;0;2;3;0;1;0;20;12;26;0;32.9;1.32;A
Sampdoria;Empoli;0;4;45;1;0;4141;17;43.66;2;0;1;9;6;82.8;67.6;80;4;2;6;2;3;2;15;27;11;3;97.43;3.36;1;0;4312;14;55.38;2;1;0;7;1;86.4;54.5;80;2;3;9;1;1;0;24;20;15;3;43.75;1.62;x
Bologna;Atalanta;0;-11;46;3;0;433;16;45.42;0;2;0;12;1;80.8;61.9;75;10;4;4;3;1;1;17;32;19;4;66.55;2.15;1;0;4231;16;53.49;4;1;0;6;0;76.3;59.3;0;0;0;5;5;3;0;22;22;19;4;56.65;1.95;A
Carpi;Hellas Verona;0;0;46;2;0;4141;11;41.87;1;2;0;14;2;71.8;66.7;40;3;2;4;4;3;0;19;15;21;0;41.9;1.55;2;0;433;17;57.66;2;1;1;7;1;80.9;55.6;50;3;6;6;4;2;0;26;28;11;0;42;1.62;x
Udinese;Sassuolo;0;-7;45;1;0;352;13;50.64;4;1;0;5;3;75.1;58.8;60;0;2;4;6;1;1;24;14;24;3;77.6;2.68;2;0;433;18;49.87;0;0;0;6;2;79.3;56.3;40;0;2;2;2;1;3;;34;9;3;75.9;2.92;x
Chievo;Sampdoria;1;-3;45;1;0;4132;17;46.22;0;0;0;7;1;82.3;72.2;33.3;7;5;6;5;2;0;15;36;10;0;32.9;1.32;1;0;433;16;52.46;1;0;2;5;0;83.6;60;100;3;2;5;1;1;0;;16;22;4;97.43;3.36;x
Palermo;Empoli;0;0;45;3;0;352;15;44.44;3;1;0;12;1;82.9;86.2;50;8;4;6;3;5;0;17;30;8;1;54.75;1.89;1;0;4312;14;51.91;2;0;0;8;1;84.3;61.9;100;4;8;8;2;1;0;;26;7;4;43.75;1.62;B
Milan;Atalanta;0;2;46;1;0;433;15;45.28;3;0;0;8;1;78;61.5;50;3;2;3;3;1;1;22;26;16;6;211.75;7.56;1;0;433;15;53.73;1;2;0;9;0;78.4;51.7;0;3;3;4;2;1;1;;28;11;3;56.65;1.95;x
Napoli;Udinese;0;10;45;1;0;433;15;48.91;4;1;1;7;2;82.8;77.8;66.7;1;4;5;5;1;1;27;23;14;4;260.75;9.66;2;0;3511;11;56.16;1;3;0;5;4;70.8;50;50;4;2;3;2;2;2;;19;13;1;77.6;2.68;A
Palermo;Chievo;0;-2;46;1;0;433;16;46.55;3;1;0;5;2;76.1;60;25;0;2;3;0;1;2;21;22;17;0;54.75;1.89;2;0;4312;13;51.66;3;2;0;10;1;79.1;76;100;0;8;9;4;0;1;;30;13;1;32.9;1.32;A
Juventus;Milan;0;-2;46;1;0;4312;18;54.14;2;2;2;12;0;85.6;69.2;0;3;4;8;1;1;0;11;26;13;6;377.78;14.53;1;0;433;13;44.7;0;2;0;6;0;82.8;61.5;0;3;4;4;1;2;2;10;26;11;4;211.75;7.56;A
Atalanta;Torino;0;3;46;1;0;433;16;47.43;3;1;1;9;0;85.8;72.7;0;5;3;6;5;2;0;21;20;22;1;60.5;2.09;1;0;352;13;50.85;2;3;0;12;2;78.6;60.9;60;11;5;6;6;1;1;16;25;19;0;71.35;2.64;B
Genoa;Sassuolo;0;-9;46;2;1;343;14;47.95;3;2;0;10;0;74.6;50;33.3;2;3;6;2;2;1;23;23;22;2;92.1;3.54;0;1;433;14;51.43;2;0;1;13;3;75.5;59.1;50;0;4;5;2;0;2;18;24;15;4;75.9;2.92;A
Hellas Verona;Napoli;0;-19;45;1;0;451;11;38.55;2;0;0;6;2;69.9;50;33.3;6;0;0;0;3;3;17;9;22;1;40.5;1.56;0;0;433;22;61.61;2;0;0;3;2;90.6;66.7;29.6;4;8;8;2;0;2;16;35;11;4;260.75;9.66;B
Torino;Bologna;0;5;46;0;0;352;20;48.43;4;1;0;4;2;88.3;55.6;0;1;3;5;5;0;0;13;37;9;3;79.15;2.93;0;0;433;14;50.38;2;0;0;3;1;81.9;57.7;50;3;0;1;1;3;1;14;33;7;4;66.55;2.15;A
Chievo;Udinese;1;1;47;3;0;4312;12;44.27;2;1;2;12;1;78.3;74.2;100;4;6;8;2;4;1;12;29;15;3;36.2;1.45;1;0;352;19;52.14;4;2;1;5;3;79.6;73.9;50;0;2;3;3;5;2;17;19;18;3;77.6;2.68;B
Palermo;Juventus;0;-6;45;0;0;4312;11;41.04;1;1;0;5;0;81.4;73.9;50;9;3;6;1;0;2;17;25;15;4;54;1.86;1;0;352;22;57.21;5;0;0;6;2;87.7;70.4;20;0;8;10;9;0;0;16;34;11;6;390.28;15.01;B
Sassuolo;Fiorentina;1;-6;46;0;0;433;16;54.85;4;2;1;8;0;78.8;67.6;0;0;3;5;2;3;1;23;13;27;3;79.2;3.05;0;0;3421;17;50.36;2;1;0;7;1;81;60.6;0;6;5;8;2;1;0;16;33;17;4;131.4;4.69;x
Internazionale;Genoa;0;14;48;0;0;442;22;52.59;3;0;0;5;2;86.4;72;36.4;4;6;10;2;0;0;25;38;9;3;248.9;8.89;1;0;343;12;44.25;1;1;0;5;0;77.6;58.8;0;1;0;0;0;3;0;17;21;20;3;92.1;3.54;A
Torino;Roma;0;-6;46;2;0;352;14;37.8;2;2;0;9;0;80.3;59.1;25;2;4;5;1;0;4;16;26;7;6;79.15;2.93;2;0;433;20;58.64;1;2;0;8;0;89.3;61.3;0;0;0;0;2;2;0;16;16;14;1;259.8;9.62;x
Carpi;Milan;0;-14;46;0;0;4411;13;48.46;0;3;0;5;1;78.5;67.6;75;2;4;6;2;3;2;17;27;23;3;42.2;1.56;1;0;442;17;51.71;5;3;0;7;5;81.3;44.4;75;5;6;8;0;3;2;21;28;22;3;208.3;7.44;x
Frosinone;Chievo;0;-2;45;2;0;442;13;50;5;2;0;6;2;75.2;63.6;0;4;2;5;0;1;1;24;27;18;3;29.4;1.13;2;0;4312;13;44.17;1;1;0;12;0;75.8;59.3;50;3;3;4;2;1;3;17;26;18;3;36.2;1.45;B
Hellas Verona;Empoli;0;-12;46;0;0;4411;17;50.76;7;0;0;10;1;79.2;71;0;2;7;8;5;3;1;22;20;18;0;40.5;1.56;3;0;4312;14;47.08;0;2;0;5;1;86.5;57.9;71.4;0;5;7;1;5;2;17;24;14;4;51.25;1.9;B
Genoa;Bologna;0;0;47;0;0;352;19;50.1;5;3;0;5;0;84.7;57.1;33.3;9;7;10;7;0;0;23;32;18;0;92.1;3.54;1;0;433;11;46.12;2;1;0;9;3;73.6;65.5;25;7;1;3;2;3;0;15;21;26;3;68.95;2.22;B
Chievo;Atalanta;0;-5;46;3;0;4312;13;47.18;2;2;0;8;3;76.6;77.8;57.1;9;4;5;1;2;2;20;18;19;3;36.2;1.45;1;0;433;14;52.66;1;1;0;8;0;79.3;54.8;0;6;5;6;4;0;2;22;22;19;6;60.5;2.09;A
Empoli;Carpi;0;11;45;0;0;4312;19;48.83;1;3;0;1;2;86.9;53.3;50;0;4;8;2;1;1;18;23;22;6;51.25;1.9;0;0;442;13;47.69;1;0;0;8;2;65.8;39.3;66.7;4;4;6;2;1;0;24;25;15;1;42.2;1.56;A
Juventus;Fiorentina;1;-5;45;0;0;352;14;47;0;2;0;6;1;84.3;65.5;66.7;3;4;7;3;1;0;8;26;9;6;377.78;14.53;1;0;3421;18;48.81;1;0;2;10;0;92.2;72.4;33.3;9;2;4;0;2;0;10;24;10;4;143.1;5.11;A
Milan;Hellas Verona;0;18;45;0;0;442;18;45.51;5;1;0;4;2;78.1;65;25;9;4;6;2;0;1;18;24;15;4;208.3;7.44;0;0;4411;15;53.66;7;1;0;4;0;78;71.9;0;9;2;5;5;1;0;25;23;15;0;40.5;1.56;x
Napoli;Roma;0;3;48;0;0;433;19;49.31;3;0;0;6;2;83.7;51.6;16.7;0;2;4;4;0;0;20;31;14;3;274.75;10.18;0;0;433;15;44.09;1;0;0;6;1;80.9;69.8;0;1;1;3;2;0;0;14;29;17;1;259.8;9.62;x
Lazio;Sampdoria;0;3;45;1;0;4321;19;56.17;1;2;0;11;1;82.7;39.3;50;1;5;8;3;1;0;16;28;16;0;184.6;5.95;1;0;451;14;48.01;0;0;0;8;0;80.5;68;33.3;6;3;4;0;2;1;15;24;13;0;100.75;3.47;x
Bologna;Empoli;2;-5;46;0;0;433;15;43.93;3;2;1;4;0;75.6;60.5;33.3;0;5;6;0;5;1;14;17;16;6;68.95;2.22;1;0;4312;14;53.47;6;1;0;6;1;85.9;60;42.9;0;8;10;0;2;1;19;25;16;6;51.25;1.9;B
Atalanta;Napoli;0;-8;45;0;0;433;14;4.14;5;0;0;6;1;73.5;57.1;20;9;7;7;6;2;2;21;17;23;3;60.5;2.09;1;0;433;20;50.35;2;0;0;6;2;87.3;69.2;27.3;6;6;6;1;3;1;13;38;14;1;274.75;10.18;B
Hellas Verona;Sassuolo;1;-20;45;1;0;4411;14;44.25;2;0;0;7;0;76.1;57.6;0;1;2;3;2;2;3;16;27;24;1;40.5;1.56;1;0;433;18;49.7;6;0;0;7;1;82;51.9;33.3;0;3;7;2;1;1;21;31;18;4;79.2;3.05;x
Sampdoria;Palermo;0;-1;47;0;0;451;19;49.15;4;0;1;7;0;86.6;62.1;42.9;10;6;9;4;2;1;20;31;15;1;100.68;3.6;1;0;4321;14;46.34;1;1;0;9;1;78.2;47.6;0;3;5;5;4;3;3;12;15;25;3;54;1.86;A
Lazio;Carpi;0;13;45;0;0;433;16;49.28;3;0;0;4;3;79.8;47.4;42.9;0;1;4;3;0;0;17;24;22;4;184.6;5.95;0;0;532;12;47.18;4;0;0;3;2;69.8;64.3;11.1;4;1;2;0;0;0;27;26;17;0;42.2;1.56;x
Milan;Bologna;0;9;47;1;0;442;18;53.53;6;1;0;8;2;84.3;66.7;100;3;8;7;3;0;1;24;13;16;4;208.5;7.19;3;0;4141;14;52.65;0;0;0;5;0;84.2;67.9;50;9;0;1;1;4;3;11;26;13;3;68.95;2.22;B
Atalanta;Genoa;0;8;47;0;0;433;19;51.87;2;1;0;4;0;84.8;60;33.33;3;4;6;7;0;1;18;28;11;0;57.5;1.98;1;0;3421;17;48.7;3;0;0;8;2;83.5;66.7;100;7;2;5;1;1;0;12;25;12;0;92.85;3.44;B
Bologna;Chievo;0;-1;47;0;0;433;16;50.17;4;0;1;9;0;81.3;57.7;25;12;0;6;1;0;1;16;14;19;3;68.95;2.22;1;0;4312;15;51.43;1;1;0;12;1;81;67.5;0;0;2;3;1;2;2;21;31;9;1;36.2;1.45;B
Internazionale;Sassuolo;0;10;46;1;0;433;14;44.01;1;0;0;9;1;81.7;46.4;66.7;16;5;7;2;3;0;20;9;19;3;248.9;8.89;0;0;433;13;52.82;3;0;4;11;0;80.2;83.3;50;0;1;7;4;1;0;16;30;15;2;79.2;3.05;B
Torino;Empoli;0;-4;47;2;0;352;14;40.4;2;1;1;7;3;86.5;76.7;60;2;4;7;2;2;0;17;23;8;0;79.15;2.93;3;0;4312;14;56.74;1;1;2;10;0;87.4;60;0;0;3;6;1;3;0;16;17;12;3;51.25;1.9;B
Atalanta;Internazionale;1;-15;46;2;0;352;14;44;3;5;0;7;2;77.5;72.4;0;1;8;11;3;3;0;17;21;25;0;60.45;2.08;2;0;4312;17;49.62;1;1;0;12;1;84.3;55.6;0;9;3;6;2;4;0;10;35;12;3;261.4;9.34;x
Carpi;Sampdoria;1;-9;51;2;0;4411;13;46.87;2;0;0;11;0;70.5;48.5;0;15;3;5;1;3;0;13;33;18;4;38.3;1.32;0;0;4141;18;52.74;3;2;0;7;3;79.6;22.2;50;12;4;6;2;3;0;10;42;11;3;106.13;3.66;A
Atalanta;Sassuolo;1;-6;47;1;0;352;15;48.61;2;0;1;11;2;80.1;50;10;0;3;4;3;1;0;16;24;16;2;60.45;2.08;2;0;433;15;50.55;2;1;0;9;1;77.7;54.5;33.3;0;3;5;3;3;1;24;24;20;0;82.5;3.3;x
Roma;Frosinone;1;19;45;1;0;442;19;52.25;8;0;0;7;0;86.8;65.5;14.3;0;3;12;5;2;0;19;22;12;1;264.7;9.13;1;0;433;12;49.77;4;1;0;5;1;71.8;55;33.3;3;1;5;2;3;1;16;17;20;1;28.1;1.12;A
Genoa;Fiorentina;0;-18;45;2;0;343;14;53.22;2;2;0;9;1;80.2;57.1;16.7;0;2;5;8;1;0;16;28;12;4;91.8;3.28;2;0;3412;17;42.95;1;1;0;8;0;83.3;51.6;0;6;2;3;1;1;0;27;27;12;3;164.4;6.32;x
Torino;Hellas Verona;0;16;45;0;0;352;17;53.32;4;3;0;6;1;82.7;50;57.1;5;5;6;3;1;2;18;21;16;3;86.6;3.09;1;0;4231;14;46.46;1;2;0;9;0;79.1;54.5;0;5;1;2;3;3;0;20;15;12;2;37;1.42;x
Udinese;Lazio;0;-7;48;3;1;352;12;47.46;3;4;0;6;5;67.5;44.8;12.5;1;2;4;2;1;0;20;13;33;0;79.6;2.65;1;0;433;16;52.23;2;1;1;10;1;81;52;0;0;2;4;5;0;0;22;26;17;4;176.2;5.87;x
Hellas Verona;Atalanta;0;1;45;1;0;532;17;55.28;0;1;0;5;0;85.9;68.8;66.7;0;6;6;6;2;1;13;23;10;3;38.85;1.39;1;0;442;16;47.4;0;0;0;6;0;86.8;70;0;0;5;6;7;2;2;17;28;11;4;53.75;1.79;A
Roma;Parma;0;43;45;0;0;433;21;54.47;5;2;0;0;0;89.1;85.2;25;0;8;9;5;0;2;20;22;14;4;260.7;8.69;1;0;4411;12;43.93;3;0;0;8;2;75.6;47.1;50;1;1;3;1;2;2;16;24;8;0;47.85;1.84;x
Chievo;Milan;0;-9;45;0;0;442;12;53.88;3;0;0;8;2;80.7;61.9;57.1;2;0;2;1;2;0;14;24;13;3;52.68;1.95;1;0;4312;20;47.83;1;0;1;7;2;90.4;75;100;1;3;7;2;0;3;;26;7;4;220.9;7.13;x
Milan;Sampdoria;0;-7;47;0;0;433;17;51.02;3;1;1;4;0;86.6;72.2;33.3;3;8;14;3;1;0;20;21;16;6;225.5;7.52;1;0;4231;13;48.82;4;0;0;10;0;82.5;63.6;100;0;2;7;1;4;1;18;14;17;3;65.75;2.63;x
Torino;Roma;0;-14;45;1;0;352;15;49.95;1;0;0;2;2;82.4;56.8;0;2;2;4;2;1;0;12;23;9;6;66;2.64;1;0;433;21;53.55;1;0;0;11;2;92;73.8;25;2;4;8;4;1;0;16;26;7;6;188.7;7.86;x
Sampdoria;Cesena;0;27;4;0;0;4231;16;59.99;6;4;0;5;2;85.9;59.1;25;5;4;8;3;3;0;24;15;16;1;108.7;3.88;1;0;4312;10;39.87;1;1;0;11;0;81.4;45;50;1;2;3;0;1;1;11;22;10;1;27.25;1.01;x
Internazionale;Chievo;0;8;6;1;0;4132;21;54.11;7;0;0;9;4;86.6;86.2;0;3;3;13;6;0;0;17;29;12;6;228.4;8.16;1;0;442;12;42.37;1;2;0;5;1;78.1;50;0;0;0;0;0;1;1;19;14;15;4;52.68;1.95;x
Hellas Verona;Roma;0;0;45;1;0;433;10;45.68;2;0;0;7;3;74.5;66.7;100;0;5;7;1;2;0;17;18;14;4;43.75;1.56;0;0;4231;18;54.75;1;2;0;4;1;87.6;75;20;3;5;10;4;3;0;17;23;10;4;253.7;8.46;x
Lazio;Udinese;0;0;47;0;0;4231;17;48.31;2;0;1;9;0;80.3;53.1;0;2;2;5;1;1;2;25;23;17;3;181.15;5.84;0;0;352;12;46.85;2;3;1;7;1;74.3;68;50;2;0;1;0;1;1;20;20;23;3;73.15;2.61;A
Palermo;Carpi;1;6;45;1;0;3511;18;49.14;1;0;0;8;0;79.7;76.5;16.7;18;3;5;3;1;0;17;33;9;6;53.78;1.92;2;0;352;12;51.24;2;1;0;12;3;72.9;70.4;0;23;2;3;2;3;1;14;21;12;0;36.83;1.42;x
Fiorentina;Bologna;0;6;46;0;0;4231;19;52.81;3;1;2;8;0;87.7;85.7;100;2;1;6;4;1;0;21;25;12;6;131.7;4.88;1;0;433;13;46.86;0;0;0;9;3;77.9;65.4;66.7;1;2;2;0;1;0;;26;14;3;64.95;1.91;A
Sampdoria;Internazionale;0;-5;47;0;0;433;12;45.26;7;0;0;3;2;81.3;56.5;60;7;8;10;2;3;3;21;20;9;3;97.43;3.36;0;0;4312;19;58.21;5;1;0;5;0;88.6;71.4;0;0;6;8;6;4;0;17;24;11;3;238.98;8.54;x
Sampdoria;Empoli;0;4;45;1;0;4141;17;43.66;2;0;1;9;6;82.8;67.6;80;4;2;6;2;3;2;15;27;11;3;97.43;3.36;1;0;4312;14;55.38;2;1;0;7;1;86.4;54.5;80;2;3;9;1;1;0;24;20;15;3;43.75;1.62;x
Genoa;Sassuolo;0;-9;46;2;1;343;14;47.95;3;2;0;10;0;74.6;50;33.3;2;3;6;2;2;1;23;23;22;2;92.1;3.54;0;1;433;14;51.43;2;0;1;13;3;75.5;59.1;50;0;4;5;2;0;2;18;24;15;4;75.9;2.92;A
Napoli;Roma;0;3;48;0;0;433;19;49.31;3;0;0;6;2;83.7;51.6;16.7;0;2;4;4;0;0;20;31;14;3;274.75;10.18;0;0;433;15;44.09;1;0;0;6;1;80.9;69.8;0;1;1;3;2;0;0;14;29;17;1;259.8;9.62;x
Hellas Verona;Sassuolo;1;-20;45;1;0;4411;14;44.25;2;0;0;7;0;76.1;57.6;0;1;2;3;2;2;3;16;27;24;1;40.5;1.56;1;0;433;18;49.7;6;0;0;7;1;82;51.9;33.3;0;3;7;2;1;1;21;31;18;4;79.2;3.05;x
Atalanta;Internazionale;1;-15;46;2;0;352;14;44;3;5;0;7;2;77.5;72.4;0;1;8;11;3;3;0;17;21;25;0;60.45;2.08;2;0;4312;17;49.62;1;1;0;12;1;84.3;55.6;0;9;3;6;2;4;0;10;35;12;3;261.4;9.34;x
Torino;Hellas Verona;0;16;45;0;0;352;17;53.32;4;3;0;6;1;82.7;50;57.1;5;5;6;3;1;2;18;21;16;3;86.6;3.09;1;0;4231;14;46.46;1;2;0;9;0;79.1;54.5;0;5;1;2;3;3;0;20;15;12;2;37;1.42;x
